dropped,valid_pr_auc,valid_neg_recall,valid_brier,d_valid_pr,d_valid_neg,d_valid_brier,test_pr_auc,test_neg_recall
available_count,0.9780449698198732,0.7844397650448853,0.1599210506397178,-0.0026345678642787,-0.0494292363958771,0.0018070198738203,0.977197849881438,0.7788655341203571
total_chargers,0.980657134974624,0.8366396985481547,0.1580626232292741,-2.2402709527913345e-05,0.0027706971073921,-5.1407536623276906e-05,0.9799156830638084,0.8344370860927153
known_charger_count,0.9806579841639806,0.8345339687465366,0.158363935858139,-2.155352017130241e-05,0.0006649673057741,0.0002499050922415,0.9799842396020888,0.8318456665706881
observation_coverage,0.9806270171821654,0.8333148620192841,0.1564507967189539,-5.252050198656377e-05,-0.0005541394214784,-0.0016632340469434,0.979796836792088,0.8257990210192917
single_charger,0.980679537684152,0.8338690014407625,0.1581140307658974,0.0,0.0,0.0,0.979993808716012,0.8306939245608984
hour,0.9771077364389747,0.8897262551257896,0.1740661521033742,-0.0035718012451771,0.0558572536850271,0.0159521213374768,0.9772825496802184,0.9032536711776562
weekday,0.98036386990589,0.8490524215892719,0.1677428533599669,-0.0003156677782619,0.0151834201485093,0.0096288225940694,0.9803316224051032,0.8242153757558307
is_weekend,0.980679537684152,0.8338690014407625,0.1581140307658974,0.0,0.0,0.0,0.979993808716012,0.8306939245608984
avail_rate_lag_15m,0.9796231260904548,0.8338690014407625,0.1631556541819208,-0.0010564115936971,0.0,0.0050416234160234,0.9790511132058126,0.8432191189173626
avail_rate_lag_60m,0.9802002476528844,0.8384129446968858,0.1620179329283355,-0.0004792900312675,0.0045439432561232,0.0039039021624381,0.9795208121471756,0.8301180535560034
horizon_minutes,0.978212143815226,0.815139088994791,0.164249269037453,-0.0024673938689259,-0.0187299124459714,0.0061352382715555,0.9774788399421758,0.8026202130722718
